run_date,fund_symbol,fund_name,holding_symbol,holding_name,weight_pct
2026-05-08,0P0000XVS3.BO,Union ELSS Tax Saver Fund - Direct Plan - IDCW Option,,,0
2026-05-08,0P0000UJ5X.BO,Union ELSS Tax Saver Fund - Growth Option,,,0
2026-05-08,0P0000UJ5Y.BO,Union ELSS Tax Saver Fund - IDCW Option,,,0
2026-05-08,0P0000XVSQ.BO,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,0
2026-05-08,0P0000XVSV.BO,UTI ELSS Tax Saver Fund - Direct Plan - IDCW,,,0
2026-05-08,0P00005UYL.BO,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,,,0
2026-05-08,0P00005UYK.BO,UTI ELSS Tax Saver Fund - Regular Plan - IDCW,,,0
2026-05-08,0P0001PL1U.BO,WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,,,0
2026-05-08,0P0001PL1T.BO,WhiteOak Capital ELSS Tax Saver Fund Direct Plan IDCW,,,0
2026-05-08,0P0001PL1S.BO,WhiteOak Capital ELSS Tax Saver Fund Regular Plan Growth,,,0
2026-05-08,0P0001PL1R.BO,WhiteOak Capital ELSS Tax Saver Fund Regular Plan IDCW,,,0
2026-05-08,0P0001R3NQ.BO,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,,,0
2026-05-08,0P0001R3NR.BO,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,,,0
2026-05-08,0P0001R3NT.BO,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,,,0
2026-05-08,0P0001R3NU.BO,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,,,0
2026-05-08,0P0001YEMY.BO,Abakkus Flexi Cap Fund - Direct - Growth,,,0
2026-05-08,0P0001YEMZ.BO,Abakkus Flexi Cap Fund - Direct - IDCW,,,0
2026-05-08,0P0001YEN1.BO,Abakkus Flexi Cap Fund - Regular - Growth,,,0
2026-05-08,0P0001YEN2.BO,Abakkus Flexi Cap Fund - Regular - IDCW,,,0
2026-05-08,0P0000XVWD.BO,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,,,0
2026-05-08,0P00005V62.BO,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,,,0
2026-05-08,0P0000XVWC.BO,Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW,,,0
2026-05-08,0P00005X31.BO,Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW,,,0
2026-05-08,0P0001BURF.BO,Axis Flexi Cap Fund - Direct Plan - Growth,,,0
2026-05-08,0P0001BURG.BO,Axis Flexi Cap fund - Direct Plan - IDCW,,,0
2026-05-08,0P0001BURC.BO,Axis Flexi Cap Fund - Regular Plan - Growth,,,0
2026-05-08,0P0001BURD.BO,Axis Flexi Cap Fund - Regular Plan - IDCW,,,0
2026-05-08,0P0001RCBD.BO,Bajaj Finserv Flexi Cap Fund -Regular Plan-Growth,,,0
2026-05-08,0P0001RCB9.BO,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,,,0
